Ligand	Receptor	Source
CCL26	CCR3	Ramilowski et al. 2015
CCL27	CCR10	Ramilowski et al. 2015
CCL28	CCR10	Ramilowski et al. 2015
CCL28	CCR3	Ramilowski et al. 2015
CCL2	ACKR2	Ramilowski et al. 2015
CCL2	CCR1	Ramilowski et al. 2015
CCL2	CCR2	Ramilowski et al. 2015
CCL2	CCR3	Ramilowski et al. 2015
CCL2	CCR4	Ramilowski et al. 2015
CCL2	CCR5	Ramilowski et al. 2015
CCL3	CCR1	Ramilowski et al. 2015
CCL3	CCR5	Ramilowski et al. 2015
CCL4	ACKR2	Ramilowski et al. 2015
CCL4	CCR1	Ramilowski et al. 2015
CCL4	CCR5	Ramilowski et al. 2015
CCL4	CCR8	Ramilowski et al. 2015
CCL5	ACKR2	Ramilowski et al. 2015
CCL5	CCR1	Ramilowski et al. 2015
CCL5	CCR3	Ramilowski et al. 2015
CCL5	CCR4	Ramilowski et al. 2015
CCL5	CCR5	Ramilowski et al. 2015
CCL5	CXCR3	Ramilowski et al. 2015
CCL5	GPR75	Ramilowski et al. 2015
CCL7	ACKR2	Ramilowski et al. 2015
CCL7	CCR1	Ramilowski et al. 2015
CCL7	CCR2	Ramilowski et al. 2015
CCL7	CCR3	Ramilowski et al. 2015
CCL7	CCR5	Ramilowski et al. 2015
CCL7	CXCR3	Ramilowski et al. 2015
CCL8	ACKR2	Ramilowski et al. 2015
CCL8	CCR1	Ramilowski et al. 2015
CCL8	CCR2	Ramilowski et al. 2015
CCL8	CCR3	Ramilowski et al. 2015
CCL8	CCR5	Ramilowski et al. 2015
CD24	SELP	Ramilowski et al. 2015
CD34	SELL	Ramilowski et al. 2015
CDH1	ITGAE	Ramilowski et al. 2015
CDH1	ITGB7	Ramilowski et al. 2015
CFH	SELL	Ramilowski et al. 2015
CGA	FSHR	Ramilowski et al. 2015
CGA	LHCGR	Ramilowski et al. 2015
CGA	TSHR	Ramilowski et al. 2015
CHAD	ITGA2	Ramilowski et al. 2015
CHAD	ITGB1	Ramilowski et al. 2015
CLCF1	CNTFR	Ramilowski et al. 2015
CLCF1	CRLF1	Ramilowski et al. 2015
CLCF1	IL6ST	Ramilowski et al. 2015
CLCF1	LIFR	Ramilowski et al. 2015
CNTF	CNTFR	Ramilowski et al. 2015
CNTF	IL6ST	Ramilowski et al. 2015
CNTF	LIFR	Ramilowski et al. 2015
COL18A1	GPC1	Ramilowski et al. 2015
COL18A1	ITGA5	Ramilowski et al. 2015
COL18A1	ITGB1	Ramilowski et al. 2015
COL1A1	DDR1	Ramilowski et al. 2015
COL1A1	DDR2	Ramilowski et al. 2015
COL1A1	ITGA11	Ramilowski et al. 2015
COL1A1	ITGA2	Ramilowski et al. 2015
COL1A1	ITGB1	Ramilowski et al. 2015
COL2A1	ITGA10	Ramilowski et al. 2015
COL2A1	ITGA2	Ramilowski et al. 2015
COL2A1	ITGB1	Ramilowski et al. 2015
